ZINC_ID,definition,Leverage,Y_Stdnt_Residual
64540241,External-compound,0.069864533,-0.677253
64548397,External-compound,0.090506889,0.641093
28529556,External-compound,0.047352925,3.03119
28529811,External-compound,0.069864533,-0.134521
35090994,External-compound,0.092621719,2.07492
35999278,External-compound,0.046961873,0.435908
36268807,External-compound,0.091677284,-1.96777
36268834,External-compound,0.051670326,1.49051
43152217,External-compound,0.075175795,0.592659
43152221,External-compound,0.03014301,0.0403064
64540241,External-compound,0.084250598,1.17386
64548397,External-compound,0.113955248,0.17518
