pIC50,pIC50_pred,definition
6.21,6.2523,Cross-validation
7.89,7.8481,Cross-validation
7.81,7.997,Cross-validation
9.15,9.0137,Cross-validation
8.68,8.6187,Cross-validation
9.4,9.5337,Cross-validation
8.57,8.684,Cross-validation
6.05,5.6709,Cross-validation
7.69,7.55,Cross-validation
6.07,5.8118,Cross-validation
5.92,6.4984,Cross-validation
6.89,6.618,Cross-validation
7.22,7.1807,Cross-validation
6.64,6.6249,Cross-validation
6.1,6.1323,Cross-validation
6.85,6.826,Cross-validation
6.52,6.7107,Cross-validation
7.05,7.2033,Cross-validation
6.15,6.2836,Cross-validation
9.7,9.6026,Cross-validation
8.7,8.3879,Cross-validation
9.22,9.4039,Cross-validation
9.22,9.4065,Cross-validation
8.72,8.8689,Cross-validation
8.6,8.5309,Cross-validation
9.3,9.4837,Cross-validation
9.3,9.4569,Cross-validation
9.07,8.8177,Cross-validation
8.29,8.5006,Cross-validation
7.47,7.4185,Cross-validation
9.4,9.5859,Cross-validation
10,9.9117,Cross-validation
8.34,6.9442,Cross-validation
7.89,8.0386,Cross-validation
8.17,8.3881,Cross-validation
10,9.4681,Cross-validation
8.64,8.7221,Cross-validation
10,9.615,Cross-validation
9.52,9.4523,Cross-validation
7.13,7.8034,Cross-validation
8,8.2446,Cross-validation
9.15,9.0014,Cross-validation
10,9.9767,Cross-validation
9.27,8.9917,Cross-validation
9.28,9.209,Cross-validation
9.3,9.3142,Cross-validation
9.15,9.3389,Cross-validation
9.06,9.2952,Cross-validation
8.57,8.7911,Cross-validation
8.82,8.6528,Cross-validation
8.03,7.6279,Cross-validation
8.74,8.357,Cross-validation
7.6,7.4521,Cross-validation
8.51,8.579,Cross-validation
8.34,8.2811,Cross-validation
9.24,9.0558,Cross-validation
9.26,8.8551,Cross-validation
9.34,9.5458,Cross-validation
9.24,9.102,Cross-validation
9.29,9.1876,Cross-validation
7.49,7.8931,Cross-validation
7.77,8.3025,Cross-validation
9.28,9.2619,Cross-validation
7.87,7.9154,Cross-validation
7.85,7.8675,Cross-validation
