corr,r2,definition
-0.109340264,0.00359633,q2
0.064105072,0.000607696,q2
0.013453334,0.000420474,q2
0.121798057,0.000930019,q2
-0.038115624,0.004157274,q2
0.111336179,0.033539288,q2
-0.079936131,0.001571417,q2
-0.078071067,0.005982675,q2
0.068111855,0.004468708,q2
-0.050104114,0.00708292,q2
-2.93E-05,0.059927643,q2
0.095059818,0.014913339,q2
-0.004155764,0.000321657,q2
0.036811679,0.0359821,q2
-0.026651405,0.016015089,q2
0.146344771,0.068755708,q2
0.055649718,0.00522563,q2
-0.025405013,0.007826311,q2
-0.022393767,0.013641551,q2
-0.043328381,0.016009327,q2
0.106199417,0.001021429,q2
