0.022405298,N1-N1,PDE4B,12.8
0,N1-N1,PDE4B,13.2
0,N1-N1,PDE4B,13.6
0,N1-N1,PDE4B,14
0,N1-N1,PDE4B,14.4
0,N1-N1,PDE4B,14.8
0,N1-N1,PDE4B,15.2
0,N1-N1,PDE4B,15.6
0,N1-N1,PDE4B,16
0,N1-N1,PDE4B,16.4
0,N1-N1,PDE4B,16.8
0,N1-N1,PDE4B,17.2
0,N1-N1,PDE4B,17.6
0,N1-N1,PDE4B,18
-0.03233045,N1-N1,PDE4B,18.4
0,N1-N1,PDE4B,18.8
0,N1-N1,PDE4B,19.2
0,N1-N1,PDE4B,19.6
0,N1-N1,PDE4B,20
0,N1-N1,PDE4B,20.4
0,N1-N1,PDE4B,20.8
0,N1-N1,PDE4B,21.2
0,N1-N1,PDE4B,21.6
0,N1-N1,PDE4B,22
0.002209584,N1-N1,PDE4B,22.4
0,N1-N1,PDE4B,22.8
0.02209584,N1-N1,PDE4B,23.2
0,N1-N1,PDE4B,23.6
0,N1-N1,PDE4B,24
0,N1-N1,PDE4B,24.4
0,N1-N1,PDE4B,24.8
0,TIP-TIP,PDE4B,0.4
0,TIP-TIP,PDE4B,0.8
0,TIP-TIP,PDE4B,1.2
0,TIP-TIP,PDE4B,1.6
0.02813058,TIP-TIP,PDE4B,2
0,TIP-TIP,PDE4B,2.4
0,TIP-TIP,PDE4B,2.8
0.003965634,TIP-TIP,PDE4B,3.2
0,TIP-TIP,PDE4B,3.6
0,TIP-TIP,PDE4B,4
0,TIP-TIP,PDE4B,4.4
0,TIP-TIP,PDE4B,4.8
0,TIP-TIP,PDE4B,5.2
0,TIP-TIP,PDE4B,5.6
0.00735522,TIP-TIP,PDE4B,6
0,TIP-TIP,PDE4B,6.4
0,TIP-TIP,PDE4B,6.8
0,TIP-TIP,PDE4B,7.2
0,TIP-TIP,PDE4B,7.6
0,TIP-TIP,PDE4B,8
-0.001065522,TIP-TIP,PDE4B,8.4
0,TIP-TIP,PDE4B,8.8
0,TIP-TIP,PDE4B,9.2
0,TIP-TIP,PDE4B,9.6
0.007122834,TIP-TIP,PDE4B,10
0.001199354,TIP-TIP,PDE4B,10.4
0,TIP-TIP,PDE4B,10.8
0,TIP-TIP,PDE4B,11.2
0,TIP-TIP,PDE4B,11.6
0.007825816,TIP-TIP,PDE4B,12
0,TIP-TIP,PDE4B,12.4
0,TIP-TIP,PDE4B,12.8
0,TIP-TIP,PDE4B,13.2
0.02027592,TIP-TIP,PDE4B,13.6
0.0036932,TIP-TIP,PDE4B,14
